All Star Premier League,SS LC,Season 5,Colorado Mamoswine,Trapinch,Clamperl
All Star Premier League,SS Tier 3 and Below,Season 5,New England Patrats,Gogoat,Tangela
Ever Grande Draft League,Main,Season 1,Dutchland dracos,Corviknight,Kommo-o
Corn's Draft League,Main,Season 1,Absolute Victory,Duraludon,Dugtrio-Alola
Cascade Draft League,Challengers Div 1,Season 9,Detroit Lycanrocs,Melmetal,Hoopa-Unbound
Ever Grande Draft League,Main,Season 1,Chicago Chandeluers,Indeedee,Tangrowth
Ever Grande Draft League,Main,Season 1,Chicago Chandeluers,Slowbro-Mega,Tyranitar-Mega
Corn's Draft League,Main,Season 1,King Groudon,Zygarde-10%,Celebi
COVID Lockdown Fast Draft,Main,Season 2,High Tier Shuckles,Ninetales-Alola,Sylveon
COVID Lockdown Fast Draft,Main,Season 2,High Tier Shuckles,Gengar,Porygon2
Cascade Draft League,Challengers Div 1,Season 9,Castelia City CatJams,Zapdos-Galar,Zeraora
Ever Grande Draft League,Main,Season 1,Chicago Chandeluers,Salazzle,Emboar
Corn's Draft League,Main,Season 1,Los Angeles Rampardos,Porygon-Z,Pincurchin
Ever Grande Draft League,Main,Season 1,Montana Meganiums,Kommo-o,Infernape
Ever Grande Draft League,Main,Season 1,Montana Meganiums,Xatu,Aerodactyl
Ever Grande Draft League,Main,Season 1,Montana Meganiums,Dugtrio,Zygarde-10%
Cascade Draft League,Challengers Div 2,Season 9,Bristol City Bewears,Raichu,Vikavolt
All Star Premier League,ORAS Standard,Season 5,Amsterdam Bulushops,Amoonguss,Celebi
Moon Lake Draft,Main,The Second,Boston Snoms,Ribombee,Gardevoir
Corn's Draft League,Main,Season 1,Absolute Victory,Dubwool,Komala
Moon Lake Draft,Main,The Second,Boston Snoms,Dragonite,Zapdos
Corn's Draft League,Main,Season 1,King Groudon,Victini,Slowbro
Corn's Draft League,Main,Season 1,Soaked Skittys,Gourgeist,Shedinja
Corn's Draft League,Main,Season 1,Team Full Metal Wall,Hippopotas,Phione
Ever Grande Draft League,Main,Season 1,Washington Wishiwashi,Sigilyph,Toxicroak
Ever Grande Draft League,Main,Season 1,Sydney Dedenne,Chandelure,Rotom-Mow
Ever Grande Draft League,Main,Season 1,Sydney Dedenne,Swampert,Gastrodon
Moon Lake Draft,Main,The Second,Toronto Tepigs,Druddigon,Audino
Moon Lake Draft,Main,The Second,Springfield Scizors,Volcanion,Hippowdon
Moon Lake Draft,Main,The Second,Boston Snoms,Rotom-Wash,Kommo-o
All Star Premier League,SS Tier 3 and Below,Season 5,Bordeaux Bewear,Charizard,Centiskorch
Corn's Draft League,Main,Season 1,Boston Red Sawks,Tyranitar,Kartana
Corn's Draft League,Main,Season 1,Baltimore Corviknights,Typhlosion,Escavalier
Corn's Draft League,Main,Season 1,King Groudon,Toxapex,Clefable
All Star Premier League,SS LC,Season 5,Colorado Mamoswine,Flabebe,Phanpy
Moon Lake Draft,Main,The Second,Springfield Scizors,Zygarde-10%,Hatterene
All Star Premier League,SS LC,Season 5,New York Koffing,Pikipek,Solosis
Moon Lake Draft,Main,The Second,Springfield Scizors,Absol-Mega,Garchomp-Mega
Ever Grande Draft League,Main,Season 1,Washington Wishiwashi,Tyrantrum,Duraludon
Moon Lake Draft,Main,The Second,Springfield Scizors,Virizion,Blaziken
All Star Premier League,ORAS Standard,Season 5,Joey,Mesprit,Hariyama
SKL,Main,Season 9,Vegas Night Marchers,Swampert,Seismitoad
Ever Grande Draft League,Main,Season 1,Kent Bronzongs,Typhlosion,Combusken
All Star Premier League,SS National Dex,Season 5,Vegas Night Marchers,Sneasel,Delphox
Ever Grande Draft League,Main,Season 1,Kent Bronzongs,Absol-Mega,Manectric-Mega
Ever Grande Draft League,Main,Season 1,Kent Bronzongs,Lanturn,Lapras
